<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIU2 [SPBFUT],Daily,20211224,000000,153310.000000,153310.000000,151790.000000,152010.000000,10.000000
RIU2 [SPBFUT],Daily,20211227,000000,154110.000000,154990.000000,154110.000000,154990.000000,13.000000
RIU2 [SPBFUT],Daily,20211228,000000,154550.000000,157100.000000,152910.000000,154390.000000,39.000000
RIU2 [SPBFUT],Daily,20211229,000000,153850.000000,153850.000000,153210.000000,153410.000000,3.000000
RIU2 [SPBFUT],Daily,20211230,000000,152450.000000,153770.000000,152410.000000,153770.000000,9.000000
RIU2 [SPBFUT],Daily,20220103,000000,154070.000000,157230.000000,154070.000000,156480.000000,22.000000
RIU2 [SPBFUT],Daily,20220104,000000,157350.000000,157600.000000,155580.000000,156500.000000,18.000000
RIU2 [SPBFUT],Daily,20220105,000000,154690.000000,154760.000000,146350.000000,146350.000000,70.000000
RIU2 [SPBFUT],Daily,20220106,000000,146360.000000,149660.000000,145170.000000,149660.000000,61.000000
RIU2 [SPBFUT],Daily,20220107,000000,150000.000000,152000.000000,150000.000000,152000.000000,14.000000
RIU2 [SPBFUT],Daily,20220110,000000,151800.000000,153440.000000,150300.000000,151300.000000,29.000000
RIU2 [SPBFUT],Daily,20220111,000000,152000.000000,154710.000000,152000.000000,154040.000000,35.000000
RIU2 [SPBFUT],Daily,20220112,000000,154070.000000,155750.000000,153650.000000,155400.000000,10.000000
RIU2 [SPBFUT],Daily,20220113,000000,154650.000000,154950.000000,145350.000000,146700.000000,190.000000
RIU2 [SPBFUT],Daily,20220114,000000,147850.000000,148650.000000,139000.000000,144800.000000,496.000000
RIU2 [SPBFUT],Daily,20220117,000000,143280.000000,145750.000000,139760.000000,141410.000000,470.000000
RIU2 [SPBFUT],Daily,20220118,000000,142180.000000,142180.000000,130880.000000,132300.000000,571.000000
RIU2 [SPBFUT],Daily,20220119,000000,131500.000000,139650.000000,126930.000000,137400.000000,237.000000
RIU2 [SPBFUT],Daily,20220120,000000,136150.000000,140170.000000,133800.000000,135430.000000,100.000000
RIU2 [SPBFUT],Daily,20220121,000000,135740.000000,137910.000000,132690.000000,132800.000000,94.000000
RIU2 [SPBFUT],Daily,20220124,000000,134000.000000,134230.000000,121000.000000,125400.000000,368.000000
RIU2 [SPBFUT],Daily,20220125,000000,126000.000000,131240.000000,122700.000000,128530.000000,183.000000
RIU2 [SPBFUT],Daily,20220126,000000,128520.000000,129740.000000,123000.000000,125350.000000,115.000000
RIU2 [SPBFUT],Daily,20220127,000000,124000.000000,136700.000000,123100.000000,133160.000000,165.000000
RIU2 [SPBFUT],Daily,20220128,000000,135570.000000,136600.000000,133220.000000,134460.000000,45.000000
RIU2 [SPBFUT],Daily,20220131,000000,134600.000000,138400.000000,134600.000000,138400.000000,56.000000
RIU2 [SPBFUT],Daily,20220201,000000,139330.000000,140890.000000,125000.000000,138000.000000,127.000000
RIU2 [SPBFUT],Daily,20220202,000000,139120.000000,140900.000000,138000.000000,139590.000000,68.000000
RIU2 [SPBFUT],Daily,20220203,000000,138160.000000,139640.000000,134560.000000,135990.000000,202.000000
RIU2 [SPBFUT],Daily,20220204,000000,136890.000000,140100.000000,136230.000000,138450.000000,101.000000
RIU2 [SPBFUT],Daily,20220207,000000,137300.000000,139030.000000,136070.000000,138170.000000,77.000000
RIU2 [SPBFUT],Daily,20220208,000000,137780.000000,142100.000000,137600.000000,142100.000000,107.000000
RIU2 [SPBFUT],Daily,20220209,000000,142200.000000,145920.000000,142200.000000,145340.000000,183.000000
RIU2 [SPBFUT],Daily,20220210,000000,145250.000000,147260.000000,143630.000000,144110.000000,174.000000
RIU2 [SPBFUT],Daily,20220211,000000,143330.000000,143970.000000,131290.000000,133630.000000,312.000000
RIU2 [SPBFUT],Daily,20220214,000000,132880.000000,138610.000000,129070.000000,136120.000000,391.000000
RIU2 [SPBFUT],Daily,20220215,000000,137460.000000,144100.000000,137220.000000,144100.000000,274.000000
RIU2 [SPBFUT],Daily,20220216,000000,145000.000000,147400.000000,144360.000000,145960.000000,178.000000
RIU2 [SPBFUT],Daily,20220217,000000,144500.000000,144500.000000,137690.000000,138400.000000,237.000000
RIU2 [SPBFUT],Daily,20220218,000000,140260.000000,142990.000000,130620.000000,131480.000000,425.000000
RIU2 [SPBFUT],Daily,20220221,000000,131090.000000,135590.000000,102960.000000,109180.000000,2192.000000
RIU2 [SPBFUT],Daily,20220222,000000,105840.000000,118000.000000,104420.000000,117200.000000,985.000000
RIU2 [SPBFUT],Daily,20220223,000000,117200.000000,117450.000000,102660.000000,103130.000000,449.000000
RIU2 [SPBFUT],Daily,20220224,000000,102660.000000,102660.000000,64910.000000,80060.000000,1309.000000
RIU2 [SPBFUT],Daily,20220225,000000,80060.000000,93350.000000,80060.000000,84970.000000,317.000000
RIU2 [SPBFUT],Daily,20220324,000000,78220.000000,84000.000000,70000.000000,81400.000000,233.000000
RIU2 [SPBFUT],Daily,20220325,000000,80700.000000,82000.000000,74050.000000,77000.000000,214.000000
RIU2 [SPBFUT],Daily,20220328,000000,75810.000000,78140.000000,72550.000000,77940.000000,364.000000
RIU2 [SPBFUT],Daily,20220329,000000,79920.000000,92900.000000,79920.000000,89960.000000,1121.000000
RIU2 [SPBFUT],Daily,20220330,000000,93730.000000,96070.000000,89590.000000,96070.000000,234.000000
RIU2 [SPBFUT],Daily,20220331,000000,95820.000000,99990.000000,95000.000000,99330.000000,230.000000
RIU2 [SPBFUT],Daily,20220401,000000,100190.000000,104930.000000,97750.000000,99950.000000,320.000000
RIU2 [SPBFUT],Daily,20220404,000000,99000.000000,103540.000000,97440.000000,101300.000000,250.000000
RIU2 [SPBFUT],Daily,20220405,000000,101290.000000,101290.000000,92300.000000,96300.000000,415.000000
RIU2 [SPBFUT],Daily,20220406,000000,94590.000000,99500.000000,94000.000000,98500.000000,248.000000
RIU2 [SPBFUT],Daily,20220407,000000,99710.000000,106050.000000,99500.000000,105900.000000,372.000000
RIU2 [SPBFUT],Daily,20220408,000000,107430.000000,108820.000000,103730.000000,105940.000000,338.000000
